"Concentration","DistanceToAirport","Precipitation","DistanceToMilitaryBase","DistanceToLandfill","DistanceToFedCWP","DistanceToAg","DistanceToChem","DistanceToRubber","DistanceToTextile","DistanceToApparel","DistanceToFnB","DistanceToFurniture","DistanceToLeather","DistanceToMachinery","DistanceToMiscellaneous","DistanceToPaper","DistanceToWood","SOCTonsPerHA","MedPFAS","PopDen","STUSPS","Median.Earnings.Inflation.Adj.2020","Bachelor.Degree.Percent.2020","Bachelor.5Year.Change","Bachelor.10Year.Change","Earnings.5Year.Change","Earnings.10Year.Change","Longitude","Latitude"
18417.5,6.32797971686607,248.87,6.88611257346611,9.33240794107163,8.987587198846,9.75073642344762,6.55411245132313,8.82744519952899,9.69097984838178,9.65609393260193,8.67098980893666,8.20512718224747,8.61207431290571,7.39529161207756,8.61207431290571,6.56613426321637,9.30029957295043,19,"High",227,"CA",60599,32.7,-1.3,-15.6,9386,12328,-117.1875076,32.73817278
16550,6.60121675683326,503.6,10.2665333856773,7.80262748119071,11.7560877795721,7.94826017734811,7.24903150465683,7.96148734558046,8.48043162681991,9.6222351251483,7.81919607318622,7.97358160576914,10.3640533614741,7.74782892619045,7.85042233889661,7.96002721607284,7.97358160576914,88,"High",199,"CA",30836,8.6,3.1,1.6,0,8278,-122.222583,37.714806
16480,8.86178442686021,415.62,9.73851477126762,9.43472449334537,11.9196929831014,8.66775760358156,7.38612367911085,7.3779887786253,8.63201767014277,10.2127459957307,7.22881341213244,8.50061074025369,9.90588469671088,7.27519400097806,7.8009758883962,7.47793408952592,8.50061074025369,36,"High",235,"CA",36467,12.8,0.600000000000001,-0.699999999999999,9698,9122,-121.849428044,37.358277277
14820,10.1182551705423,1275.57,10.6075654504072,9.62771976294141,10.4707605348829,10.8985570548542,8.56270502740802,6.84233714091168,10.0779242470388,11.2673580387689,9.50758725135768,9.34860595304514,10.7314850624437,6.82999408944077,9.97871103407096,9.66532165552653,9.49065691100802,20,"High",112,"NY",53305,24.1,2.3,-11.9,7967,8247,-73.599297,41.561798
11490,6.53086039918025,487.52,10.864085874859,10.187438946879,12.3503285956984,7.38130406058319,7.74669125423976,6.08620269866166,11.1399368949969,10.99790982719,7.38130406058319,8.27713832657951,11.9427985225651,6.08620269866166,6.08620269866166,7.29898632513642,10.8599265824042,33,"High",182,"CA",43938,25.9,3.1,-19.6,3210,6995,-119.8398311,34.4323617
9410,6.42874855120692,487.52,10.8630760420661,10.1869843214427,12.3502899992566,7.37130430946349,7.73796494445535,6.17611511846961,11.1399146633711,10.9979378713035,7.37130430946349,8.26974696045957,11.9427895024727,6.17611511846961,6.17611511846961,7.30575371546701,10.8600337632803,33,"High",182,"CA",43938,25.9,3.1,-19.6,3210,6995,-119.8401048,34.4317643
9300,9.68789443538014,1228.51,10.3136222142719,9.13681486066216,10.2811744511738,10.1348415774945,7.57482787056959,4.95505924958178,9.29493236686812,10.1246998989213,8.19142947774466,7.43500927786378,10.2618899111606,7.62262315133673,7.45543105589032,7.54831315143394,9.2054705153425,48,"High",216,"NY",62332,25.1,0.5,-14.1,9235,10188,-73.602438,40.750187
9240,9.33569573116612,529.83,8.63893745345218,8.64355845125904,11.428474247468,9.91750209579336,5.90045286029615,7.02076041402374,9.31920117483315,10.5430114693283,6.70648179749538,6.50105827346898,9.51625650872805,6.48015539148211,6.91533082773943,6.91533082773943,7.37426040266508,46,"High",173,"CA",63915,28.1,0.900000000000002,-12.3,8216,7643,-122.1359415,38.0703383
9014.4,9.79402643629384,508.12,8.91914140866971,9.53494639474845,11.5187285543441,9.86134946294132,6.62686320901918,9.30471996643564,9.83888525814621,10.3293707361235,7.86921764448975,9.1439249695359,8.93457675457967,8.99137906183182,8.29780763669708,9.30416020439618,9.1439249695359,69,"High",186,"CA",59456,26.3,9.2,-7.1,0,2400,-122.2472813,38.0485282
8782,6.55185975958569,487.52,10.855899342036,10.2087285384352,12.3477766163898,7.49876670983813,7.96203592920046,6.90826061012537,11.1313529262505,10.9880446937479,7.68359596442385,8.40243519043982,11.9389621056872,6.69018701641277,6.56087136285561,6.81095896725169,10.8486747669409,33,"High",182,"CA",43938,25.9,3.1,-19.6,3210,6995,-119.8340187,34.4301115
